what,kind,bundleId,bundleVersion,description,time
stopped,bundle,com.android.ide.eclipse.adt,10.0.0.v201102162101-104271,"com.android.ide.eclipse.adt",1298430005698
stopped,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1298430005698
stopped,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1298430005699
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.400.v200904300717,"org.eclipse.wst.dtd.ui",1298430005700
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.204.v200909021537,"org.eclipse.wst.xsd.ui",1298430005702
stopped,bundle,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui",1298430005702
stopped,bundle,org.eclipse.wst.common.ui,1.1.402.v200901262305,"org.eclipse.wst.common.ui",1298430005703
stopped,bundle,com.python.pydev.codecompletion,1.5.4.2010011921,"com.python.pydev.codecompletion",1298430005703
stopped,bundle,com.python.pydev.refactoring,1.5.4.2010011921,"com.python.pydev.refactoring",1298430005723
stopped,bundle,com.python.pydev.analysis,1.5.4.2010011921,"com.python.pydev.analysis",1298430005723
stopped,bundle,com.python.pydev.debug,1.5.4.2010011921,"com.python.pydev.debug",1298430005727
stopped,bundle,com.python.pydev.fastparser,1.5.4.2010011921,"com.python.pydev.fastparser",1298430005727
stopped,bundle,com.python.pydev,1.5.4.2010011921,"com.python.pydev",1298430005728
stopped,bundle,org.python.pydev.customizations,1.5.4.2010011921,"org.python.pydev.customizations",1298430005728
stopped,bundle,org.python.pydev.debug,1.5.4.2010011921,"org.python.pydev.debug",1298430005728
stopped,bundle,org.python.pydev.refactoring,1.5.4.2010011921,"org.python.pydev.refactoring",1298430005728
stopped,bundle,org.python.pydev.templates,1.5.4.2010011921,"org.python.pydev.templates",1298430005729
stopped,bundle,org.python.pydev,1.5.4.2010011921,"org.python.pydev",1298430005729
stopped,bundle,com.aptana.ide.debug.ui,2.0.0.1254164293,"com.aptana.ide.debug.ui",1298430005729
stopped,bundle,com.aptana.ide.desktop.integration,2.0.0.1253913567,"com.aptana.ide.desktop.integration",1298430005729
